channels,channel_names,accuracy,macro_precision,macro_recall,macro_f1,focused_f1,unfocused_f1,drowsy_f1
14,"AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",0.6563333333333333,0.6788421827073278,0.6539705333902365,0.6612242481048053,0.83129074315515,0.5601217656012176,0.5922602355580482
8,"AF3,F7,F3,FC5,FC6,F4,F8,AF4",0.6458333333333334,0.6901182918917402,0.6433578295673437,0.6505678202548614,0.7612061939690301,0.592976855546688,0.597520411248866
4,"AF3,F3,F4,AF4",0.5286666666666666,0.5597762694245784,0.5304103539722635,0.5349305341862233,0.5844535359438925,0.43725055432372506,0.5830875122910522
2,"AF3,AF4",0.524,0.545064528230376,0.524641339473492,0.529584443025023,0.6250346933111296,0.4331861491982338,0.530532486565706
1,AF3,0.5106666666666667,0.5575397648972077,0.507948672291621,0.507809355253631,0.5799021019291679,0.5126394052044609,0.43088655862726405
